iter	Passed	Remaining
0	141	141770
1	146	73007
2	152	50654
3	157	39175
4	161	32089
5	165	27480
6	170	24129
7	174	21582
8	178	19686
9	182	18076
10	185	16634
11	187	15431
12	189	14412
13	192	13563
14	195	12805
15	197	12145
16	199	11560
17	202	11037
18	204	10579
19	207	10176
20	209	9785
21	211	9407
22	213	9056
23	214	8738
24	216	8450
25	218	8180
26	220	7931
27	222	7710
28	224	7506
29	225	7306
30	227	7119
31	229	6940
32	231	6780
33	233	6624
34	234	6476
35	236	6340
36	238	6207
37	240	6084
38	242	5967
39	244	5857
40	245	5749
41	247	5645
42	249	5557
43	251	5464
44	253	5374
45	255	5288
46	256	5204
47	258	5126
48	260	5051
49	262	4978
50	264	4918
51	266	4851
52	267	4785
53	269	4723
54	271	4666
55	273	4606
56	274	4549
57	276	4494
58	279	4450
59	280	4400
60	282	4351
61	285	4317
62	289	4309
63	291	4268
64	296	4260
65	298	4229
66	300	4185
67	301	4130
68	303	4088
69	304	4047
70	306	4006
71	307	3967
72	310	3948
73	312	3916
74	314	3880
75	316	3844
76	317	3808
77	319	3773
78	320	3739
79	322	3707
80	325	3691
81	327	3666
82	329	3636
83	330	3606
84	331	3571
85	333	3542
86	334	3508
87	336	3482
88	337	3456
89	340	3446
90	343	3426
91	344	3401
92	346	3376
93	347	3351
94	349	3327
95	350	3304
96	352	3280
97	355	3270
98	357	3257
99	359	3235
100	361	3214
101	361	3186
102	363	3165
103	365	3144
104	366	3124
105	368	3110
106	371	3098
107	373	3086
108	375	3068
109	377	3050
110	378	3032
111	380	3018
112	382	3001
113	386	3001
114	389	2993
115	390	2976
116	392	2961
117	394	2945
118	395	2927
119	397	2913
120	400	2911
121	402	2898
122	403	2877
123	405	2861
124	406	2846
125	408	2831
126	409	2816
127	410	2798
128	412	2784
129	415	2781
130	417	2769
131	419	2755
132	420	2741
133	422	2728
134	423	2715
135	425	2701
136	426	2689
137	429	2684
138	432	2678
139	433	2665
140	435	2653
141	437	2640
142	438	2628
143	440	2616
144	441	2605
145	445	2605
146	447	2595
147	448	2583
148	450	2572
149	452	2561
150	453	2550
151	455	2539
152	456	2528
153	460	2528
154	462	2523
155	464	2513
156	466	2504
157	468	2497
158	471	2492
159	474	2491
160	476	2483
161	479	2478
162	481	2473
163	484	2467
164	486	2464
165	490	2465
166	494	2464
167	495	2455
168	498	2450
169	500	2441
170	502	2434
171	504	2430
172	506	2422
173	508	2413
174	510	2405
175	512	2397
176	513	2389
177	516	2384
178	518	2378
179	520	2370
180	521	2359
181	523	2350
182	524	2342
183	526	2334
184	528	2327
185	530	2321
186	533	2321
187	535	2313
188	537	2306
189	539	2299
190	540	2291
191	542	2283
192	545	2279
193	547	2273
194	549	2268
195	551	2260
196	552	2253
197	554	2245
198	556	2238
199	561	2245
200	563	2240
201	565	2234
202	567	2227
203	570	2224
204	572	2219
205	574	2213
206	578	2215
207	580	2208
208	581	2202
209	583	2196
210	587	2197
211	590	2193
212	592	2187
213	594	2182
214	597	2179
215	599	2175
216	603	2177
217	605	2171
218	611	2180
219	614	2177
220	616	2172
221	618	2166
222	619	2159
223	621	2152
224	625	2155
225	627	2148
226	629	2142
227	630	2136
228	632	2129
229	633	2122
230	635	2115
231	637	2111
232	640	2107
233	641	2100
234	643	2095
235	645	2088
236	646	2082
237	648	2075
238	649	2068
239	654	2071
240	655	2064
241	657	2058
242	658	2052
243	660	2046
244	662	2042
245	664	2036
246	668	2039
247	670	2033
248	672	2028
249	674	2022
250	675	2016
251	677	2009
252	678	2003
253	680	1998
254	683	1997
255	685	1992
256	687	1987
257	688	1981
258	690	1975
259	692	1969
260	693	1963
261	695	1958
262	698	1956
263	700	1952
264	701	1946
265	703	1940
266	704	1935
267	706	1929
268	707	1923
269	709	1918
270	711	1914
271	713	1910
272	715	1905
273	717	1900
274	718	1894
275	720	1889
276	721	1883
277	723	1878
278	725	1873
279	727	1870
280	728	1865
281	730	1859
282	732	1854
283	733	1849
284	735	1844
285	736	1839
286	738	1833
287	739	1828
288	741	1824
289	743	1819
290	744	1814
291	746	1809
292	747	1804
293	749	1799
294	751	1794
295	752	1789
296	754	1785
297	755	1780
298	757	1775
299	758	1770
300	760	1766
301	761	1761
302	763	1756
303	764	1751
304	766	1746
305	767	1741
306	769	1736
307	771	1733
308	772	1728
309	774	1723
310	775	1719
311	777	1714
312	779	1709
313	780	1705
314	782	1701
315	783	1696
316	785	1692
317	787	1689
318	789	1685
319	791	1682
320	793	1677
321	794	1673
322	796	1668
323	797	1664
324	799	1660
325	801	1657
326	803	1653
327	804	1648
328	806	1644
329	807	1640
330	809	1636
331	810	1631
332	812	1627
333	813	1622
334	815	1619
335	817	1615
336	818	1611
337	820	1606
338	821	1602
339	823	1598
340	825	1594
341	826	1590
342	828	1586
343	829	1582
344	831	1578
345	832	1574
346	834	1570
347	835	1566
348	837	1561
349	838	1557
350	840	1553
351	841	1549
352	843	1545
353	845	1542
354	846	1538
355	848	1534
356	849	1530
357	851	1526
358	852	1522
359	854	1518
360	855	1515
361	857	1511
362	858	1507
363	860	1504
364	862	1500
365	864	1496
366	865	1493
367	867	1489
368	868	1485
369	870	1481
370	871	1478
371	873	1474
372	875	1471
373	877	1468
374	878	1464
375	880	1460
376	881	1457
377	883	1453
378	884	1449
379	886	1446
380	887	1442
381	889	1439
382	891	1435
383	892	1432
384	894	1428
385	895	1425
386	897	1421
387	898	1417
388	900	1414
389	902	1410
390	903	1407
391	905	1404
392	907	1401
393	908	1397
394	910	1394
395	911	1390
396	913	1387
397	914	1383
398	916	1380
399	917	1376
400	919	1373
401	921	1370
402	922	1367
403	924	1364
404	926	1361
405	928	1357
406	929	1354
407	931	1351
408	932	1347
409	934	1345
410	936	1341
411	937	1338
412	939	1335
413	940	1331
414	942	1328
415	944	1325
416	945	1322
417	947	1318
418	948	1315
419	950	1312
420	951	1309
421	953	1305
422	955	1302
423	956	1299
424	958	1296
425	959	1293
426	961	1289
427	962	1286
428	964	1284
429	966	1281
430	968	1278
431	970	1275
432	972	1273
433	975	1272
434	977	1269
435	979	1267
436	981	1264
437	984	1262
438	986	1261
439	989	1259
440	991	1256
441	994	1255
442	996	1253
443	999	1251
444	1001	1249
445	1004	1247
446	1006	1245
447	1009	1244
448	1012	1241
449	1013	1239
450	1015	1236
451	1017	1233
452	1019	1230
453	1021	1228
454	1026	1229
455	1029	1227
456	1030	1224
457	1033	1222
458	1034	1219
459	1036	1217
460	1039	1215
461	1042	1214
462	1044	1211
463	1046	1209
464	1049	1207
465	1052	1205
466	1057	1207
467	1059	1204
468	1061	1201
469	1063	1199
470	1064	1196
471	1066	1193
472	1069	1191
473	1071	1189
474	1073	1186
475	1075	1183
476	1076	1180
477	1078	1178
478	1080	1175
479	1083	1174
480	1086	1172
481	1088	1170
482	1090	1167
483	1092	1164
484	1094	1162
485	1096	1159
486	1101	1160
487	1103	1157
488	1105	1155
489	1107	1152
490	1108	1149
491	1110	1146
492	1111	1143
493	1115	1142
494	1117	1139
495	1118	1136
496	1120	1133
497	1121	1130
498	1123	1127
499	1124	1124
500	1126	1121
501	1127	1118
502	1130	1117
503	1132	1114
504	1133	1111
505	1135	1108
506	1137	1105
507	1138	1102
508	1140	1099
509	1141	1096
510	1144	1095
511	1146	1092
512	1148	1090
513	1150	1087
514	1152	1084
515	1154	1082
516	1155	1079
517	1158	1077
518	1160	1075
519	1162	1072
520	1163	1069
521	1165	1067
522	1166	1064
523	1168	1061
524	1170	1058
525	1171	1055
526	1175	1055
527	1177	1052
528	1179	1049
529	1180	1047
530	1182	1044
531	1184	1041
532	1185	1039
533	1189	1037
534	1191	1035
535	1192	1032
536	1194	1029
537	1196	1027
538	1197	1024
539	1199	1021
540	1200	1018
541	1203	1016
542	1204	1014
543	1206	1011
544	1209	1009
545	1210	1006
546	1212	1004
547	1213	1001
548	1215	998
549	1219	997
550	1220	994
551	1222	992
552	1224	989
553	1225	986
554	1227	983
555	1228	981
556	1230	978
557	1232	976
558	1235	974
559	1236	971
560	1238	968
561	1239	966
562	1241	963
563	1242	960
564	1244	958
565	1245	955
566	1249	953
567	1250	951
568	1252	948
569	1253	945
570	1255	943
571	1256	940
572	1258	937
573	1260	935
574	1262	933
575	1265	931
576	1266	928
577	1268	925
578	1269	923
579	1271	920
580	1272	917
581	1274	915
582	1275	912
583	1279	911
584	1281	908
585	1282	906
586	1284	903
587	1285	900
588	1287	898
589	1289	895
590	1290	893
591	1294	891
592	1295	889
593	1297	886
594	1298	884
595	1300	881
596	1302	878
597	1303	876
598	1304	873
599	1307	871
600	1309	869
601	1311	866
602	1312	864
603	1314	861
604	1316	859
605	1317	856
606	1319	854
607	1320	851
608	1323	850
609	1325	847
610	1327	844
611	1328	842
612	1330	839
613	1331	837
614	1333	834
615	1334	832
616	1337	830
617	1339	828
618	1341	825
619	1342	823
620	1344	820
621	1346	818
622	1347	815
623	1349	812
624	1350	810
625	1354	808
626	1355	806
627	1356	803
628	1358	801
629	1360	798
630	1361	796
631	1363	793
632	1364	791
633	1366	788
634	1368	786
635	1370	784
636	1371	781
637	1373	779
638	1374	776
639	1376	774
640	1377	771
641	1379	769
642	1382	767
643	1384	765
644	1386	762
645	1387	760
646	1389	757
647	1390	755
648	1392	752
649	1393	750
650	1396	748
651	1398	746
652	1400	744
653	1401	741
654	1403	739
655	1404	736
656	1406	734
657	1408	731
658	1409	729
659	1412	727
660	1414	725
661	1416	723
662	1417	720
663	1419	718
664	1420	715
665	1422	713
666	1423	710
667	1426	708
668	1428	706
669	1430	704
670	1431	702
671	1433	699
672	1435	697
673	1436	694
674	1438	692
675	1439	690
676	1442	688
677	1444	686
678	1446	683
679	1447	681
680	1449	678
681	1450	676
682	1452	674
683	1453	671
684	1456	669
685	1458	667
686	1460	665
687	1461	662
688	1463	660
689	1465	658
690	1466	655
691	1468	653
692	1469	651
693	1472	649
694	1474	646
695	1475	644
696	1477	642
697	1478	639
698	1480	637
699	1481	635
700	1483	632
701	1487	631
702	1488	628
703	1490	626
704	1491	624
705	1492	621
706	1494	619
707	1495	616
708	1497	614
709	1499	612
710	1502	610
711	1503	608
712	1505	605
713	1506	603
714	1508	601
715	1510	598
716	1511	596
717	1513	594
718	1516	592
719	1518	590
720	1519	588
721	1521	585
722	1524	583
723	1526	581
724	1527	579
725	1530	577
726	1532	575
727	1534	573
728	1536	571
729	1537	568
730	1539	566
731	1540	564
732	1542	561
733	1545	560
734	1547	557
735	1549	555
736	1550	553
737	1552	551
738	1553	548
739	1555	546
740	1556	544
741	1558	541
742	1561	540
743	1563	537
744	1564	535
745	1566	533
746	1567	531
747	1569	528
748	1570	526
749	1572	524
750	1575	522
751	1577	520
752	1578	517
753	1580	515
754	1581	513
755	1583	511
756	1585	508
757	1586	506
758	1588	504
759	1591	502
760	1593	500
761	1595	498
762	1596	495
763	1598	493
764	1599	491
765	1601	489
766	1602	486
767	1605	485
768	1607	482
769	1609	480
770	1610	478
771	1612	476
772	1613	473
773	1615	471
774	1616	469
775	1618	467
776	1620	465
777	1622	463
778	1624	460
779	1626	458
780	1627	456
781	1629	454
782	1630	451
783	1632	449
784	1635	447
785	1637	445
786	1638	443
787	1640	441
788	1642	439
789	1643	436
790	1645	434
791	1646	432
792	1650	430
793	1652	428
794	1654	426
795	1655	424
796	1657	422
797	1658	419
798	1660	417
799	1661	415
800	1664	413
801	1666	411
802	1668	409
803	1669	407
804	1671	404
805	1673	402
806	1674	400
807	1676	398
808	1677	396
809	1680	394
810	1681	391
811	1683	389
812	1684	387
813	1686	385
814	1688	383
815	1689	380
816	1691	378
817	1693	376
818	1696	374
819	1697	372
820	1699	370
821	1700	368
822	1702	366
823	1703	363
824	1705	361
825	1706	359
826	1708	357
827	1710	355
828	1712	353
829	1714	351
830	1716	349
831	1718	346
832	1719	344
833	1722	342
834	1724	340
835	1725	338
836	1727	336
837	1728	334
838	1730	332
839	1731	329
840	1733	327
841	1734	325
842	1738	323
843	1739	321
844	1741	319
845	1743	317
846	1744	315
847	1746	312
848	1747	310
849	1749	308
