iter	Passed	Remaining
0	146	146200
1	148	73967
2	149	49778
3	151	37676
4	153	30464
5	154	25623
6	156	22162
7	158	19666
8	160	17643
9	161	16013
10	163	14680
11	164	13575
12	166	12642
13	168	11843
14	170	11191
15	172	10616
16	174	10070
17	175	9583
18	177	9150
19	178	8762
20	180	8414
21	182	8096
22	183	7801
23	186	7570
24	187	7323
25	189	7091
26	190	6878
27	192	6679
28	193	6493
29	195	6322
30	197	6161
31	200	6062
32	202	5919
33	203	5784
34	205	5657
35	206	5536
36	208	5422
37	210	5319
38	211	5216
39	214	5159
40	216	5065
41	218	4976
42	219	4890
43	221	4810
44	223	4734
45	224	4658
46	226	4584
47	229	4548
48	231	4484
49	232	4420
50	234	4357
51	235	4297
52	237	4238
53	238	4183
54	240	4128
55	243	4100
56	244	4052
57	246	4003
58	247	3955
59	249	3909
60	250	3863
61	252	3820
62	254	3779
63	255	3739
64	258	3723
65	260	3685
66	261	3647
67	263	3612
68	265	3577
69	266	3543
70	268	3510
71	269	3478
72	272	3466
73	274	3437
74	276	3407
75	277	3378
76	279	3348
77	280	3319
78	282	3291
79	283	3264
80	285	3237
81	288	3231
82	289	3198
83	291	3174
84	292	3150
85	294	3126
86	295	3103
87	297	3081
88	298	3059
89	300	3037
90	303	3029
91	305	3011
92	306	2992
93	308	2972
94	309	2951
95	311	2932
96	312	2912
97	314	2894
98	317	2892
99	319	2874
100	320	2856
101	322	2838
102	323	2821
103	325	2804
104	327	2789
105	328	2772
106	331	2765
107	333	2754
108	335	2739
109	336	2723
110	338	2707
111	339	2692
112	341	2677
113	342	2662
114	344	2647
115	347	2645
116	348	2630
117	350	2616
118	351	2602
119	353	2589
120	354	2575
121	355	2560
122	357	2548
123	358	2534
124	361	2532
125	363	2522
126	364	2508
127	366	2496
128	367	2484
129	369	2472
130	370	2460
131	372	2448
132	373	2437
133	378	2445
134	380	2435
135	381	2425
136	383	2415
137	385	2405
138	386	2396
139	388	2386
140	393	2396
141	394	2384
142	396	2374
143	397	2365
144	400	2361
145	402	2353
146	403	2343
147	406	2341
148	408	2333
149	410	2324
150	411	2315
151	413	2305
152	414	2296
153	416	2287
154	417	2278
155	421	2277
156	423	2274
157	425	2267
158	427	2260
159	429	2253
160	430	2245
161	433	2242
162	436	2240
163	438	2235
164	441	2232
165	442	2224
166	444	2217
167	446	2210
168	448	2203
169	450	2201
170	452	2194
171	454	2187
172	456	2180
173	458	2176
174	460	2170
175	462	2163
176	464	2161
177	466	2154
178	468	2147
179	469	2140
180	471	2133
181	473	2127
182	475	2122
183	477	2117
184	480	2115
185	481	2109
186	483	2103
187	485	2098
188	488	2094
189	489	2088
190	491	2081
191	493	2075
192	496	2075
193	497	2068
194	499	2061
195	500	2055
196	502	2048
197	504	2042
198	505	2035
199	507	2029
200	510	2029
201	512	2026
202	514	2019
203	515	2013
204	517	2007
205	519	2003
206	521	1996
207	522	1990
208	526	1992
209	528	1986
210	529	1980
211	531	1973
212	532	1968
213	534	1962
214	535	1956
215	537	1949
216	538	1943
217	541	1941
218	542	1935
219	544	1929
220	545	1923
221	547	1918
222	549	1915
223	551	1910
224	554	1911
225	556	1906
226	558	1901
227	560	1896
228	561	1891
229	563	1886
230	564	1880
231	566	1875
232	569	1874
233	571	1869
234	572	1864
235	574	1858
236	575	1853
237	577	1848
238	578	1842
239	580	1837
240	581	1832
241	585	1832
242	586	1827
243	588	1822
244	589	1817
245	591	1812
246	592	1807
247	594	1802
248	595	1797
249	597	1793
250	600	1791
251	601	1786
252	603	1781
253	604	1776
254	606	1771
255	607	1766
256	609	1761
257	610	1757
258	614	1757
259	615	1753
260	617	1748
261	618	1743
262	620	1738
263	622	1734
264	623	1729
265	624	1724
266	626	1720
267	629	1720
268	631	1715
269	632	1710
270	634	1706
271	635	1701
272	637	1697
273	638	1692
274	640	1688
275	641	1683
276	644	1681
277	645	1677
278	647	1673
279	649	1669
280	650	1664
281	652	1660
282	653	1656
283	655	1651
284	658	1652
285	660	1648
286	661	1643
287	663	1639
288	664	1635
289	666	1631
290	667	1627
291	669	1622
292	671	1620
293	673	1618
294	675	1614
295	676	1610
296	678	1606
297	679	1601
298	681	1597
299	683	1593
300	684	1590
301	687	1590
302	689	1586
303	691	1582
304	692	1578
305	694	1574
306	695	1570
307	697	1566
308	698	1562
309	702	1562
310	704	1560
311	705	1556
312	707	1552
313	708	1548
314	710	1544
315	712	1541
316	713	1537
317	715	1533
318	718	1533
319	719	1529
320	721	1525
321	722	1522
322	724	1518
323	725	1514
324	727	1510
325	728	1507
326	730	1503
327	732	1501
328	734	1497
329	735	1493
330	737	1490
331	738	1486
332	740	1482
333	741	1479
334	743	1475
335	745	1473
336	748	1471
337	749	1468
338	751	1464
339	752	1460
340	754	1457
341	755	1454
342	757	1450
343	758	1446
344	762	1446
345	763	1443
346	765	1439
347	766	1436
348	768	1432
349	769	1429
350	771	1425
351	772	1422
352	774	1419
353	776	1417
354	778	1413
355	779	1410
356	781	1408
357	784	1406
358	786	1403
359	787	1400
360	791	1400
361	792	1396
362	794	1393
363	795	1390
364	797	1387
365	798	1383
366	800	1380
367	802	1377
368	804	1375
369	806	1373
370	808	1370
371	809	1367
372	811	1363
373	812	1360
374	814	1357
375	816	1354
376	817	1350
377	820	1350
378	822	1347
379	823	1343
380	825	1340
381	826	1337
382	828	1334
383	829	1331
384	831	1328
385	832	1324
386	836	1324
387	837	1321
388	839	1318
389	840	1315
390	842	1312
391	843	1309
392	845	1305
393	847	1302
394	849	1301
395	851	1298
396	853	1295
397	854	1292
398	856	1289
399	857	1286
400	859	1283
401	861	1280
402	862	1277
403	865	1277
404	867	1274
405	868	1271
406	870	1268
407	871	1264
408	873	1261
409	874	1258
410	876	1255
411	877	1252
412	881	1252
413	882	1249
414	884	1246
415	885	1243
416	887	1240
417	889	1237
418	890	1234
419	892	1231
420	894	1230
421	896	1228
422	898	1225
423	899	1222
424	901	1219
425	902	1216
426	904	1213
427	905	1210
428	907	1207
429	911	1207
430	913	1205
431	915	1203
432	917	1201
433	919	1199
434	922	1197
435	927	1199
436	929	1196
437	930	1194
438	932	1191
439	934	1189
440	937	1188
441	944	1192
442	946	1190
443	949	1188
444	951	1186
445	955	1187
446	959	1186
447	961	1184
448	963	1182
449	965	1180
450	967	1177
451	971	1178
452	973	1175
453	975	1172
454	976	1170
455	978	1167
456	980	1164
457	982	1162
458	983	1159
459	987	1159
460	989	1156
461	992	1155
462	994	1152
463	996	1150
464	997	1148
465	1001	1147
466	1003	1145
467	1005	1143
468	1007	1140
469	1008	1137
470	1010	1135
471	1013	1133
472	1017	1133
473	1019	1131
474	1020	1128
475	1023	1126
476	1025	1124
477	1027	1121
478	1029	1119
479	1032	1119
480	1035	1116
481	1037	1114
482	1039	1112
483	1041	1110
484	1045	1110
485	1047	1108
486	1049	1105
487	1051	1103
488	1053	1100
489	1054	1097
490	1056	1095
491	1061	1095
492	1063	1093
493	1065	1091
494	1067	1088
495	1069	1086
496	1071	1084
497	1075	1084
498	1078	1082
499	1081	1081
500	1083	1078
501	1085	1076
502	1086	1073
503	1089	1072
504	1091	1070
505	1093	1067
506	1094	1064
507	1096	1061
508	1097	1059
509	1099	1056
510	1101	1053
511	1102	1050
512	1105	1049
513	1107	1047
514	1108	1044
515	1110	1041
516	1111	1038
517	1113	1036
518	1115	1033
519	1116	1030
520	1118	1028
521	1121	1026
522	1122	1023
523	1124	1021
524	1125	1018
525	1127	1015
526	1128	1013
527	1130	1010
528	1131	1007
529	1135	1006
530	1136	1003
531	1138	1001
532	1139	998
533	1141	995
534	1142	993
535	1144	990
536	1146	988
537	1147	985
538	1151	985
539	1153	982
540	1155	980
541	1157	977
542	1158	975
543	1160	972
544	1161	969
545	1164	968
546	1166	966
547	1168	963
548	1169	960
549	1171	958
550	1172	955
551	1174	953
552	1176	950
553	1177	948
554	1180	946
555	1181	943
556	1183	941
557	1185	938
558	1186	935
559	1187	933
560	1189	930
561	1190	928
562	1193	926
563	1195	924
564	1197	921
565	1198	919
566	1200	916
567	1201	914
568	1203	911
569	1204	908
570	1206	906
571	1210	905
572	1211	902
573	1213	900
574	1214	897
575	1216	895
576	1217	892
577	1219	890
578	1220	887
579	1223	885
580	1225	883
581	1227	881
582	1228	878
583	1230	876
584	1231	873
585	1233	871
586	1234	868
587	1236	866
588	1239	865
589	1241	862
590	1242	860
591	1244	857
592	1246	855
593	1247	852
594	1249	850
595	1250	847
596	1252	845
597	1255	843
598	1256	841
599	1258	838
600	1259	836
601	1261	834
602	1263	831
603	1264	829
604	1265	826
605	1269	825
606	1270	822
607	1272	820
608	1273	817
609	1275	815
610	1276	812
611	1278	810
612	1280	808
613	1282	806
614	1284	804
615	1286	801
616	1287	799
617	1289	797
618	1291	794
619	1292	792
620	1294	789
621	1295	787
622	1298	785
623	1300	783
624	1301	781
625	1303	778
626	1304	776
627	1306	773
628	1308	771
629	1309	769
630	1311	766
631	1313	765
632	1315	762
633	1317	760
634	1318	757
635	1320	755
636	1321	753
637	1323	750
638	1324	748
639	1327	746
640	1329	744
641	1330	741
642	1332	739
643	1333	737
644	1335	734
645	1336	732
646	1338	730
647	1339	727
648	1343	726
649	1344	724
650	1346	721
651	1347	719
652	1349	717
653	1350	714
654	1352	712
655	1353	710
656	1355	707
657	1357	705
658	1359	703
659	1360	700
660	1362	698
661	1363	696
662	1365	694
663	1366	691
664	1368	689
665	1372	688
666	1374	686
667	1375	683
668	1377	681
669	1378	679
670	1380	676
671	1381	674
672	1383	672
673	1386	670
674	1388	668
675	1389	666
676	1391	663
677	1392	661
678	1394	659
679	1395	656
680	1397	654
681	1398	652
682	1402	650
683	1403	648
684	1405	646
685	1406	643
686	1408	641
687	1409	639
688	1411	637
689	1412	634
690	1416	633
691	1417	631
692	1419	628
693	1421	626
694	1422	624
695	1424	622
696	1425	619
697	1427	617
698	1428	615
699	1432	613
700	1433	611
701	1435	609
702	1436	606
703	1438	604
704	1439	602
705	1441	600
706	1442	597
707	1444	595
708	1447	594
709	1448	591
710	1450	589
711	1451	587
712	1453	585
713	1454	582
714	1456	580
715	1457	578
716	1460	576
717	1462	574
718	1464	572
719	1465	569
720	1466	567
721	1468	565
722	1469	563
723	1471	561
724	1473	558
725	1476	557
726	1478	555
727	1479	552
728	1481	550
729	1483	548
730	1484	546
731	1486	544
732	1487	541
733	1489	539
734	1492	537
735	1493	535
736	1495	533
737	1496	531
738	1498	529
739	1499	526
740	1501	524
741	1502	522
742	1506	521
743	1507	518
744	1509	516
745	1510	514
746	1512	512
747	1516	510
748	1518	508
749	1521	507
750	1523	505
751	1524	502
752	1526	500
753	1528	498
754	1530	496
755	1531	494
756	1534	492
757	1536	490
758	1537	488
759	1539	486
760	1541	483
761	1542	481
762	1543	479
763	1545	477
764	1547	475
765	1550	473
766	1552	471
767	1553	469
768	1554	467
769	1556	464
770	1557	462
771	1559	460
772	1561	458
773	1562	456
774	1565	454
775	1566	452
776	1568	450
777	1569	447
778	1571	445
779	1572	443
780	1574	441
781	1575	439
782	1578	437
783	1580	435
784	1582	433
785	1583	431
786	1585	429
787	1586	426
788	1588	424
789	1589	422
790	1591	420
791	1595	419
792	1596	416
793	1598	414
794	1599	412
795	1601	410
796	1603	408
797	1604	406
798	1606	404
799	1609	402
800	1611	400
801	1612	398
802	1614	396
803	1615	393
804	1617	391
805	1618	389
806	1620	387
807	1621	385
808	1624	383
809	1625	381
810	1627	379
811	1629	377
812	1630	375
813	1632	372
814	1633	370
815	1635	368
816	1638	367
817	1640	365
818	1642	362
819	1643	360
820	1645	358
821	1646	356
822	1648	354
823	1649	352
824	1652	350
825	1654	348
826	1655	346
827	1657	344
828	1659	342
829	1660	340
830	1662	338
831	1663	335
832	1665	333
833	1668	332
834	1670	330
835	1671	327
836	1673	325
837	1674	323
838	1676	321
839	1677	319
840	1679	317
841	1681	315
842	1683	313
843	1685	311
844	1686	309
845	1688	307
846	1689	305
847	1691	303
848	1692	301
849	1694	299
850	1697	297
851	1699	295
852	1700	293
853	1702	291
854	1703	288
855	1705	286
856	1706	284
857	1708	282
858	1709	280
859	1713	278
860	1714	276
861	1716	274
862	1717	272
863	1719	270
864	1720	268
865	1722	266
866	1723	264
867	1725	262
868	1728	260
869	1730	258
870	1731	256
871	1733	254
872	1734	252
873	1736	250
874	1738	248
875	1739	246
876	1742	244
877	1744	242
878	1745	240
879	1747	238
880	1748	236
881	1750	234
882	1751	232
883	1753	230
884	1754	227
885	1757	226
886	1759	224
887	1761	222
888	1762	220
889	1764	218
890	1765	216
891	1767	213
892	1768	211
893	1770	209
894	1772	207
895	1774	205
896	1775	203
897	1777	201
898	1778	199
899	1780	197
900	1782	195
901	1783	193
902	1786	191
903	1788	189
904	1789	187
905	1791	185
906	1792	183
907	1794	181
908	1796	179
909	1797	177
910	1799	175
911	1802	173
912	1804	171
913	1805	169
914	1807	167
915	1808	165
916	1810	163
917	1812	161
918	1813	159
919	1816	157
920	1818	155
921	1819	153
922	1821	151
923	1822	149
924	1823	147
925	1825	145
926	1826	143
927	1828	141
928	1831	139
929	1832	137
930	1834	135
931	1836	133
932	1837	131
933	1839	129
934	1840	127
935	1842	125
936	1843	123
937	1847	122
938	1848	120
939	1850	118
940	1851	116
941	1853	114
942	1855	112
943	1856	110
944	1858	108
945	1860	106
946	1862	104
947	1864	102
948	1865	100
949	1867	98
950	1868	96
951	1870	94
952	1871	92
953	1873	90
954	1877	88
955	1879	86
956	1881	84
957	1882	82
958	1884	80
959	1885	78
960	1887	76
961	1888	74
962	1895	72
963	1897	70
964	1899	68
965	1901	66
966	1902	64
967	1906	63
968	1908	61
969	1910	59
970	1912	57
971	1913	55
972	1915	53
973	1917	51
974	1921	49
975	1923	47
976	1925	45
977	1927	43
978	1928	41
979	1930	39
980	1932	37
981	1935	35
982	1937	33
983	1939	31
984	1940	29
985	1942	27
986	1943	25
987	1945	23
988	1947	21
989	1950	19
990	1952	17
991	1953	15
992	1955	13
993	1956	11
994	1958	9
995	1960	7
996	1961	5
997	1966	3
998	1967	1
999	1969	0
